uniq_id,brand,sales_price,weight,rating
26d41bdc1495de290bc8e6062d927729,la' facon,200.0,321.2484275618374,5.0
410c62298852e68f34c35560f2311e5a,sf jeans,265.0,539.4724875621886,3.6
52e31bb31680b0ec73de0d781a23cc0a,lovista,660.0,264.7260162601624,3.5
25798d6dc43239c118452d1bee0fb088,people,195.0,264.7260162601624,3.0
ad8a5a196d515ef09dfdaf082bdc37c4,monte carlo,1914.0,321.2484275618374,5.0
73fd23f631d4434fd4a41ecc1b9f5eed,forest club,350.0,539.4724875621886,4.1
14d7d34c3cacd6c9ed1aa57f284e37ad,printoctopus,288.0,99.8,3.7
ab393329c3a9370dc4cc89db35fbcd3a,pepe jeans,919.0,264.7260162601624,2.9
2b54891e14ebe52431d753aee2addf1f,carahere,1062.080731382979,551.4591659716431,4.4
87540e97ddd999f4986e56d964a6399b,peppermint,619.0,321.2484275618374,5.0
3ff4c7573b9e673b6ca432608c1969e5,haase unlimited,1062.080731382979,551.4591659716431,4.4
2dac466a9aa02a4a51e884f6a917ca8a,puma,289.0,539.4724875621886,3.8
72c61c06a56440e0d018cd61d5bc28c9,jevi prints,462.0,240.0,2.5
ebc448cca1427fe28ce4f14dd1817b19,olli,499.0,249.0,5.0
30d88739e3dd3e12088bd52b238bfd4e,pinkmint,329.0,539.4724875621886,3.7
46005e6f4f253e551ede9b580cf83b73,miss chase,669.0,539.4724875621886,3.7
61fa9b0189dad55556b420723b74de2d,bebe,760.0,539.4724875621886,4.0
1dd67899322bd3ce64054ef24fd27ba4,colt by unlimited,210.0,551.4591659716431,4.5
ff5760f75570ad75d20fb1cfe873a8d9,pepe jeans,483.0,264.7260162601624,3.3
c04251a1dd67a5bf4edab2cf734b3a46,c9,599.0,321.2484275618374,5.0
2b1c8bedb40220c7312f0edeea2a31d2,pujoy,420.0,264.7260162601624,3.5
fef360a473bafb02f27f1208e8b8005b,winza designer,522.0,539.4724875621886,4.1
8c8ef13b817747710eae99c1718c9be9,kalpit creations,249.0,249.0,3.2
152b7c5840ddc7ddd8b520a450930dcc,pooplu,399.0,264.7260162601624,3.0
bb3f77aa8767e98e97d13abee8616ade,jorkk,279.0,264.7260162601624,3.2
d1840cd449d694ea537c3654ce88f318,nauti nati,401.0,264.7260162601624,3.1
6a601b54d8ba4d64f394b50be460b694,7 ate 9 apparel,3789.0,86.2,4.0
9c19ed1a7143dc51259d923ea1949386,vimlon,1499.0,321.2484275618374,5.0
9e2774a3169d8066ce6f3877f2d75461,aliven,2565.0,213.0,4.1
2bae04ff51fa02cbad37a95e69400981,goldstroms,1199.0,321.2484275618374,5.0
cf32bba59d47cf060bd1e6f4c9b9548c,calvin klein jeans,2749.0,551.4591659716431,4.2
8e724efa4103309725237750410b6a2a,pari singh,967.721066531967,321.2484275618374,5.0
8d0562bb3af42773a571f144bfaabf92,chicnchic,2349.0,118.0,4.3
14d1f5d82fd46ed03f2545ce5cffde5e,texco,499.0,264.7260162601624,3.0
57312a06ba9a01f2e36ac9eeb5abc481,dhruvi trendz,355.0,551.4591659716431,4.5
5ea9325bb318f24a421fb88695dfa7d0,colt by unlimited,249.0,539.4724875621886,3.6
3916fb6fc88efdd2a9320b65390b2c97,bluehaaat,399.0,200.0,4.5
20807be4091aa7f42becd3622c8bae3a,magson,295.0,321.2484275618374,5.0
27fe4aa26c05205cbec992efa091a00b,arrow new york,799.0,551.4591659716431,4.2
7e6c5323681cd255afff4c00758742c0,tommy hilfiger,2639.0,321.2484275618374,5.0
a2fef5487083e7a2d17b07fecc46e934,vetrokart,519.0,551.4591659716431,4.5
df36667d3c0fd25aede0d0f3125569bd,only,1034.0,551.4591659716431,4.7
0f8a3a26f3e563621eda640aa3ecd17e,rangeelo rajasthan,379.0,264.7260162601624,3.0
20f2cfbdf9ad5af6db7b23516e4933ab,pepe jeans,261.0,539.4724875621886,4.0
01409949caa0b821bf7c5d0c7e7795f6,peter england,637.0,264.7260162601624,3.1
b506a3e484fad8a02f3e491d523476e9,leading lady,287.0,539.4724875621886,3.6
d3c11301dd57ea6ac07dcd7e0eb9c97e,rigo,331.0,150.0,5.0
c93ba9d0208b354bd64072b9acc566f6,miss chase,469.0,264.7260162601624,3.0
ae539dcfdcdfc223b39e95a4279100f3,edgemeter,967.721066531967,159.0,5.0
d913747b664df3b062ac5cd6d9cecc74,swornof,410.0,449.0,5.0
0f69e3e5c65ad2cc79e2d89b61302410,people,251.0,539.4724875621886,4.0
785694f45aea580a9d0d717b4dbd95e4,saheli,499.0,539.4724875621886,3.9
619c5efbc947d4685a7cbdadd5099002,aurelia women's,648.0,264.7260162601624,3.5
a545da7ee0c64d0065d34511c0c8a0f3,arars,1889.0,321.2484275618374,5.0
9d66c9f92e0253e38b9af2bbb7d506da,hot wheels,240.0,399.0,4.0
64dc67c1afb2635650893073ab6cceb5,van heusen,849.0,264.7260162601624,3.0
